Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Revenue_in Thousands
2000,Kids,Training,SuperRep Go,M,0.0,6110.030000000001,0.47,0.0,2024-03-09,Online,Bangalore,-770.45,0.0
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,0.0,2024-07-09,Retail,Hyderabad,-112.53,0.0
2003,Kids,Lifestyle,Blazer Mid,L,0.0,9673.57,0.0,0.0,04-10-2024,Online,Pune,3376.85,0.0
2004,Kids,Running,React Infinity,XL,0.0,6110.030000000001,0.0,0.0,2024/09/12,Retail,Delhi,187.89,0.0
2006,Men,Training,SuperRep Go,M,0.0,6819.78,0.0,0.0,04-06-2025,Online,Bangalore,1802.09,0.0
2008,Women,Soccer,Premier III,11,-1.0,6110.030000000001,0.0,0.0,11-10-2024,Online,Hyderabad,-731.18,0.0
2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.0,0.0,2025/01/16,Online,Pune,1965.56,0.0
2018,Kids,Lifestyle,Blazer Mid,Unknown,-1.0,6110.030000000001,0.86,0.0,13-11-2024,Online,Delhi,2109.48,0.0
2013,Kids,Training,SuperRep Go,Unknown,0.0,9671.05,0.0,0.0,19-09-2024,Online,Hyderabad,299.34,0.0
2014,Women,Running,React Infinity,11,0.0,6110.030000000001,0.0,0.0,2025-04-12,Online,Bangalore,-1044.4,0.0
2015,Kids,Basketball,Air Jordan,Unknown,0.0,3285.52,0.0,0.0,31-05-2025,Retail,Kolkata,1193.21,0.0
2017,Women,Basketball,Air Jordan,9,4.0,6110.030000000001,0.0,0.0,17-03-2025,Retail,Delhi,1946.24,0.0
2019,Kids,Running,Air Zoom,6,0.0,3424.06,0.32,0.0,2025/01/17,Online,Hyderabad,1915.24,0.0
2020,Kids,Soccer,Tiempo Legend,L,-1.0,6110.030000000001,0.67,0.0,28-03-2025,Retail,Mumbai,439.96,0.0
2021,Men,Running,Free RN,L,-1.0,7086.7,0.66,-2409.48,2024/11/19,Retail,Hyderabad,-1120.49,-2.40948
2022,Women,Soccer,Premier III,M,0.0,6110.030000000001,0.0,0.0,2024/09/24,Online,Pune,3427.16,0.0
2023,Men,Lifestyle,Waffle One,M,0.0,5003.95,0.0,0.0,10-01-2025,Online,Mumbai,1498.37,0.0
2024,Kids,Training,SuperRep Go,XL,0.0,6110.030000000001,0.5,0.0,28-12-2024,Retail,Bangalore,1842.35,0.0
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64,0.0
2029,Men,Training,ZoomX Invincible,12,0.0,6110.030000000001,0.0,0.0,2023-10-28,Online,Bangalore,-185.67,0.0
2030,Men,Soccer,Phantom GT,XL,0.0,6110.030000000001,1.05,0.0,2025/07/14,Retail,Hyderabad,-122.93,0.0
2031,Men,Soccer,Premier III,Unknown,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7,2.5149899999999996
2032,Women,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,1.07,0.0,11-04-2025,Retail,Mumbai,-555.16,0.0
2034,Men,Basketball,Air Jordan,6,0.0,6235.71,0.0,0.0,30-04-2025,Retail,Delhi,-267.37,0.0
2035,Kids,Basketball,Zoom Freak,Unknown,4.0,6110.030000000001,0.38,0.0,17-11-2024,Online,Bangalore,2914.83,0.0
2036,Men,Training,Metcon 7,Unknown,3.0,6110.030000000001,0.0,0.0,15-02-2025,Retail,Bangalore,-143.8,0.0
2039,Women,Training,Flex Trainer,M,0.0,2767.7,0.63,0.0,22-04-2025,Retail,Hyderabad,-336.3,0.0
2002,Women,Basketball,Zoom Freak,XL,3.0,5075.22,0.0,0.0,07-03-2025,Retail,Delhi,145.08,0.0
2041,Kids,Soccer,Tiempo Legend,12,0.0,5553.88,0.0,0.0,2025/03/05,Online,Hyderabad,2371.66,0.0
2042,Women,Basketball,Kyrie Flytrap,L,0.0,6110.030000000001,0.0,0.0,2025/04/19,Online,Hyderabad,-862.16,0.0
2043,Men,Soccer,Premier III,XL,0.0,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75,0.0
2044,Kids,Training,SuperRep Go,Unknown,0.0,6110.030000000001,0.0,0.0,2023-09-06,Online,Delhi,2174.71,0.0
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6110.030000000001,0.0,0.0,2025-04-06,Retail,Delhi,1833.94,0.0
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,0.0,2024-06-13,Retail,Bangalore,2888.68,0.0
2048,Women,Basketball,Air Jordan,XL,0.0,6110.030000000001,0.0,0.0,27-10-2024,Online,Bangalore,2875.86,0.0
2051,Women,Basketball,Air Jordan,XL,0.0,6110.030000000001,0.37,0.0,2024-01-05,Retail,Delhi,3135.98,0.0
2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.0,0.0,2024-10-08,Retail,Pune,2184.8,0.0
2053,Men,Lifestyle,Air Force 1,XL,3.0,6009.58,0.0,0.0,2024/10/02,Online,Delhi,3384.92,0.0
2054,Women,Training,Flex Trainer,11,-1.0,6110.030000000001,0.0,0.0,2025/06/23,Online,Mumbai,-549.76,0.0
2055,Men,Basketball,Kyrie Flytrap,L,0.0,6110.030000000001,0.0,0.0,26-10-2024,Online,Hyderabad,-1078.76,0.0
2056,Men,Running,React Infinity,L,3.0,6110.030000000001,0.0,0.0,2024-05-31,Retail,Bangalore,-244.44,0.0
2048,Men,Lifestyle,Waffle One,M,3.0,6216.29,0.94,1118.93,2024/09/14,Online,Mumbai,-642.02,1.11893
2059,Kids,Soccer,Phantom GT,Unknown,-1.0,9507.54,0.0,0.0,2023-12-27,Retail,Delhi,291.28,0.0
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,0.0,0.0,2024-07-11,Online,Bangalore,2821.59,0.0
2061,Women,Basketball,LeBron 20,L,0.0,6110.030000000001,0.0,0.0,10-09-2024,Online,Mumbai,-501.68,0.0
2062,Men,Basketball,Air Jordan,Unknown,2.0,6110.030000000001,0.0,0.0,06-06-2025,Online,Bangalore,1823.91,0.0
2063,Women,Basketball,Air Jordan,M,1.0,9751.0,0.16,8190.84,06-09-2024,Retail,Pune,1130.31,8.19084
2064,Kids,Running,React Infinity,L,2.0,7557.71,0.0,0.0,2025/03/02,Online,Bangalore,3277.44,0.0
2065,Women,Lifestyle,Waffle One,10,0.0,6110.030000000001,0.78,0.0,2024-02-11,Retail,Hyderabad,21.58,0.0
2066,Men,Soccer,Phantom GT,XL,-1.0,5259.05,0.0,0.0,2024-12-10,Online,Mumbai,1022.82,0.0
2067,Kids,Basketball,LeBron 20,L,4.0,3588.38,0.0,0.0,06-05-2025,Online,Kolkata,161.5,0.0
